Country,Change in Happiness,"COVID-19 deaths per 100,000 population in 2020",Index of exposure to COVID-19 infections in other countries,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Albania,0.36959171295165927,41.038299560546875,3.058283567428589,
Argentina,-0.18499374389648526,95.68370056152344,0.5493663549423218,
Australia,-0.09662723541259766,3.56469988822937,0.40509703755378723,
Austria,0.018127918243408203,69.08419799804688,4.3146820068359375,110.82119750976562
Bahrain,-0.9248366355895996,20.686599731445312,1.6665959358215332,
Bangladesh,0.1657700538635254,4.589900016784668,0.8239312767982483,
Belgium,0.06662273406982422,168.49569702148438,6.343307971954346,169.89352416992188
Benin,-0.5686149597167969,0.3628999888896942,0.970544159412384,
Bolivia,-0.11501169204711914,78.51429748535156,0.608559787273407,
Bosnia and Herzegovina,-0.499706268310546,123.44490051269531,3.508873701095581,
Brazil,-0.3414311408996582,91.71510314941406,0.6567919254302979,115.667236328125
Bulgaria,0.4892849922180176,109.03160095214844,2.6916964054107666,259.25592041015625
Cambodia,-0.6212997436523438,0.0,0.714238166809082,
Cameroon,0.3043403625488281,1.6875998973846436,0.9193479418754578,
Canada,-0.08417177200317383,41.41790008544922,2.296168088912964,
Chile,0.20839262008666903,86.87919616699219,0.5624874234199524,106.08841705322266
China,0.6269445419311523,0.33219999074935913,1.0972458124160767,
Colombia,-0.6411228179931641,84.92639923095703,0.8139034509658813,130.25125122070312
Croatia,0.8822484016418457,95.48709869384766,4.0574541091918945,133.15762329101562
Cyprus,0.12297773361206055,13.586000442504883,1.9077906608581543,60.5133171081543
Denmark,-0.17837190628051758,22.409399032592773,3.9530560970306396,25.53377342224121
Dominican Republic,-0.8358273506164551,22.253101348876953,1.1295652389526367,
Ecuador,-0.4546694755554199,79.54399871826172,0.7891846895217896,251.7445068359375
Egypt,0.14456510543823242,7.456900119781494,1.626674771308899,
El Salvador,-0.9928936958312979,20.458799362182617,0.8633497953414917,
Estonia,0.4179224967956543,17.26300048828125,2.365309238433838,53.42122268676758
Ethiopia,0.4496645927429199,1.6726999282836914,0.915070116519928,
Finland,0.10900211334228516,10.125,2.225083351135254,31.510042190551758
France,0.024467468261717862,99.21179962158203,5.0308990478515625,106.59695434570312
Georgia,0.2313075065612793,62.794898986816406,1.7055425643920898,
Germany,0.2764253616332999,40.33110046386719,4.837829113006592,73.54841613769531
Ghana,0.3526735305786124,1.0780999660491943,0.9520256519317627,
Greece,-0.16454172134399414,46.416297912597656,2.32733154296875,95.67926025390625
Hong Kong S.A.R. of China,-0.36397552490234375,1.9741261005401611,1.1787446737289429,44.117401123046875
Hungary,0.03778982162475586,98.72309875488281,3.554931879043579,128.93948364257812
Iceland,0.042984962463378906,8.498200416564941,1.6493347883224487,21.445266723632812
India,0.9765114784240723,10.77810001373291,0.9366806745529175,
Iran,-0.1416177749633789,65.74720001220703,1.7066987752914429,
Ireland,-0.2199106216430664,45.3036003112793,3.1881022453308105,32.3203010559082
Israel,-0.13685178756713867,38.41469955444336,2.2502782344818115,51.917572021484375
Italy,0.04293918609619052,122.6541976928711,5.500850677490234,182.2977752685547
Ivory Coast,-0.13550853729248047,0.5194000005722046,0.9639504551887512,
Japan,0.20992422103881836,2.6029000282287598,0.8627890348434448,10.146339416503906
Jordan,-0.35855627059936523,37.576698303222656,1.8946033716201782,
Kazakhstan,-0.10399913787841797,14.704401016235352,1.137136697769165,267.1877136230469
Kenya,-0.0722661018371582,3.1057000160217285,0.7814594507217407,
Kosovo,-0.13073015213012695,68.91649627685547,3.1344106197357178,110.32937622070312
Kyrgyzstan,0.5643653869628906,20.76889991760254,1.0801770687103271,105.18376159667969
Laos,0.08753490447997958,0.0,0.7727606296539307,
Latvia,0.25925493240356445,33.66550064086914,2.490190029144287,33.921321868896484
Lithuania,0.32728099822998047,53.55780029296875,2.538996934890747,167.55197143554688
Malta,-0.5761547088623047,49.59920120239258,2.8223886489868164,96.51993560791016
Mauritius,-0.22586488723754883,0.786300003528595,0.6244209408760071,28.3483829498291
